,price,close,high,low,open,volume
0,2003-12-01,0.8357700109481812,0.8372399806976318,0.830560028553009,0.8309800028800964,0
1,2003-12-02,0.8271999955177307,0.8371000289916992,0.8258299827575684,0.8360499739646912,0
2,2003-12-03,0.8248800039291382,0.8280199766159058,0.824400007724762,0.8271300196647644,0
3,2003-12-04,0.827750027179718,0.8302900195121765,0.8234500288963318,0.8250799775123596,0
4,2003-12-05,0.8205500245094299,0.8287799954414368,0.8202800154685974,0.8279500007629395,0
5,2003-12-08,0.8183299899101257,0.8227699995040894,0.8169900178909302,0.8218299746513367,0
6,2003-12-09,0.8163300156593323,0.8198099732398987,0.8145300149917603,0.8182600140571594,0
7,2003-12-10,0.8202800154685974,0.8222299814224243,0.8152599930763245,0.8163899779319763,0
8,2003-12-11,0.8180599808692932,0.8248800039291382,0.817330002784729,0.8202800154685974,0
9,2003-12-12,0.8144000172615051,0.8187999725341797,0.8126099705696106,0.8178600072860718,0
10,2003-12-15,0.8116899728775024,0.821150004863739,0.8113600015640259,0.8205500245094299,0
11,2003-12-16,0.8115599751472473,0.8126800060272217,0.8091300129890442,0.8120800256729126,0
12,2003-12-17,0.8063200116157532,0.8130099773406982,0.8051499724388123,0.8116899728775024,0
13,2003-12-18,0.8049600124359131,0.8086699843406677,0.8037300109863281,0.8063200116157532,0
14,2003-12-19,0.8074300289154053,0.8096500039100647,0.8041800260543823,0.8050199747085571,0
15,2003-12-22,0.8065199851989746,0.8092600107192993,0.8034700155258179,0.8092600107192993,0
16,2003-12-23,0.8064500093460083,0.8072299957275391,0.789139986038208,0.8065199851989746,0
17,2003-12-24,0.8030200004577637,0.8064500093460083,0.801800012588501,0.8063899874687195,0
18,2003-12-25,0.8033400177955627,0.803659975528717,0.8019199967384338,0.8027600049972534,0
19,2003-12-26,0.8043799996376038,0.8047000169754028,0.801859974861145,0.8032100200653076,0
20,2003-12-29,0.8010299801826477,0.8045099973678589,0.7994899749755859,0.8042500019073486,0
21,2003-12-30,0.7968800067901611,0.8010900020599365,0.795989990234375,0.8008999824523926,0
22,2003-12-31,0.7942799925804138,0.7980800271034241,0.7905799746513367,0.79680997133255,0
23,2004-01-01,0.7947900295257568,0.8016700148582458,0.793150007724762,0.7942799925804138,0
24,2004-01-02,0.7947900295257568,0.7982800006866455,0.791890025138855,0.7947900295257568,0
25,2004-01-05,0.7882099747657776,0.7913299798965454,0.7877699732780457,0.7911999821662903,0
26,2004-01-06,0.7860999703407288,0.789139986038208,0.7807599902153015,0.7880799770355225,0
27,2004-01-07,0.7910799980163574,0.7920799851417542,0.7849299907684326,0.7859200239181519,0
28,2004-01-08,0.7827799916267395,0.7958599925041199,0.782039999961853,0.7910799980163574,0
29,2004-01-09,0.7776700258255005,0.7865999937057495,0.777180016040802,0.7827799916267395,0
30,2004-01-12,0.7848700284957886,0.7850499749183655,0.7753700017929077,0.7783300280570984,0
31,2004-01-13,0.7821099758148193,0.7862300276756287,0.7814300060272217,0.7846800088882446,0
32,2004-01-14,0.7904499769210815,0.8060600161552429,0.7819799780845642,0.7819799780845642,0
33,2004-01-15,0.7935900092124939,0.7956100106239319,0.7892000079154968,0.7901399731636047,0
34,2004-01-16,0.8065800070762634,0.8087999820709229,0.7930200099945068,0.7936499714851379,0
35,2004-01-19,0.8094499707221985,0.8103700280189514,0.804889976978302,0.8072999715805054,0
36,2004-01-20,0.7943400144577026,0.809719979763031,0.7935199737548828,0.8096500039100647,0
37,2004-01-21,0.7899500131607056,0.795799970626831,0.7892699837684631,0.7948499917984009,0
38,2004-01-22,0.7858499884605408,0.7908300161361694,0.7843800187110901,0.7900099754333496,0
39,2004-01-23,0.7947199940681458,0.7955399751663208,0.7827200293540955,0.7859200239181519,0
40,2004-01-26,0.8007699847221375,0.8025000095367432,0.792959988117218,0.795229971408844,0
41,2004-01-27,0.7913299798965454,0.803409993648529,0.7898899912834167,0.8008999824523926,0
42,2004-01-28,0.8037300109863281,0.8051499724388123,0.7908899784088135,0.7915099859237671,0
43,2004-01-29,0.8058000206947327,0.8083400130271912,0.7982800006866455,0.8037899732589722,0
44,2004-01-30,0.802049994468689,0.8093900084495544,0.8009600043296814,0.8058000206947327,0
45,2004-02-02,0.8043100237846375,0.8067100048065186,0.8011500239372253,0.8015400171279907,0
46,2004-02-03,0.7977700233459473,0.7996799945831299,0.7961099743843079,0.7975800037384033,0
47,2004-02-04,0.7974500060081482,0.7996799945831299,0.7961099743843079,0.7970700263977051,0
48,2004-02-05,0.7954199910163879,0.7984700202941895,0.7913900017738342,0.7975800037384033,0
49,2004-02-06,0.7874000072479248,0.7987899780273438,0.7857900261878967,0.7955399751663208,0
50,2004-02-09,0.7877699732780457,0.7901999950408936,0.7838799953460693,0.7901999950408936,0
51,2004-02-10,0.7883300185203552,0.7890200018882751,0.782039999961853,0.7878400087356567,0
52,2004-02-11,0.779420018196106,0.7900099754333496,0.7783899903297424,0.7884600162506104,0
53,2004-02-12,0.7801499962806702,0.7814900279045105,0.7783899903297424,0.7792400121688843,0
54,2004-02-13,0.7856699824333191,0.7858499884605408,0.7757999897003174,0.780210018157959,0
55,2004-02-16,0.7833899855613708,0.7860400080680847,0.7818599939346313,0.7855499982833862,0
56,2004-02-17,0.7777299880981445,0.7835100293159485,0.7765200138092041,0.7834500074386597,0
57,2004-02-18,0.7858499884605408,0.7895200252532959,0.7738699913024902,0.7774199843406677,0
58,2004-02-19,0.7838799953460693,0.7898899912834167,0.783270001411438,0.785610020160675,0
59,2004-02-20,0.7973200082778931,0.799809992313385,0.7836400270462036,0.7838199734687805,0
60,2004-02-23,0.7954199910163879,0.8027600049972534,0.7940300107002258,0.7999399900436401,0
61,2004-02-24,0.7887700200080872,0.7981500029563904,0.7867199778556824,0.7954199910163879,0
62,2004-02-25,0.8001899719238281,0.8010299801826477,0.7871500253677368,0.7887099981307983,0
63,2004-02-26,0.8033400177955627,0.8066499829292297,0.7988499999046326,0.7999399900436401,0
64,2004-02-27,0.8003799915313721,0.8076900243759155,0.7995499968528748,0.8033400177955627,0
65,2004-03-01,0.8033400177955627,0.8045099973678589,0.7973799705505371,0.797510027885437,0
66,2004-03-02,0.8194000124931335,0.8194699883460999,0.8032100200653076,0.8032100200653076,0
67,2004-03-03,0.8202800154685974,0.8285700082778931,0.8183299899101257,0.8195400238037109,0
68,2004-03-04,0.8191999793052673,0.8235200047492981,0.8169299960136414,0.8200799822807312,0
69,2004-03-05,0.8085399866104126,0.8210200071334839,0.8047000169754028,0.8193399906158447,0
70,2004-03-08,0.8047599792480469,0.8099799752235413,0.8047599792480469,0.8087300062179565,0
71,2004-03-09,0.8117499947547913,0.8138700127601624,0.8023099899291992,0.8047599792480469,0
72,2004-03-10,0.8175299763679504,0.8191999793052673,0.8023099899291992,0.8047599792480469,0
73,2004-03-11,0.8096500039100647,0.8214200139045715,0.8077499866485596,0.8175299763679504,0
74,2004-03-12,0.8180599808692932,0.8210899829864502,0.8094499707221985,0.809719979763031,0
75,2004-03-15,0.8148599863052368,0.8187999725341797,0.8120800256729126,0.8187299966812134,0
76,2004-03-16,0.8155900239944458,0.8165900111198425,0.8082799911499023,0.815060019493103,0
77,2004-03-17,0.8178600072860718,0.8208199739456177,0.813539981842041,0.8156599998474121,0
78,2004-03-18,0.8071699738502502,0.8179299831390381,0.8052200078964233,0.8178600072860718,0
79,2004-03-19,0.815060019493103,0.8153899908065796,0.8059999942779541,0.8072999715805054,0
80,2004-03-22,0.8099799752235413,0.8178600072860718,0.8067100048065186,0.8145300149917603,0
81,2004-03-23,0.8100399971008301,0.8148000240325928,0.8084099888801575,0.8099799752235413,0
82,2004-03-24,0.8237900137901306,0.8256999850273132,0.8084099888801575,0.8099799752235413,0
83,2004-03-25,0.823930025100708,0.8259000182151794,0.8198699951171875,0.8237199783325195,0
84,2004-03-26,0.8246099948883057,0.8271300196647644,0.8190000057220459,0.8238599896430969,0
85,2004-03-29,0.8219599723815918,0.8288400173187256,0.821690022945404,0.8254899978637695,0
86,2004-03-30,0.8206800222396851,0.8226400017738342,0.8179299831390381,0.8219599723815918,0
87,2004-03-31,0.8121500015258789,0.8212900161743164,0.8115599751472473,0.8208799958229065,0
88,2004-04-01,0.8087300062179565,0.8157299757003784,0.8074300289154053,0.8122199773788452,0
89,2004-04-02,0.8244699835777283,0.8259000182151794,0.8082799911499023,0.8086699843406677,0
90,2004-04-05,0.8324300050735474,0.8340299725532532,0.8246700167655945,0.8254200220108032,0
91,2004-04-06,0.8243299722671509,0.8341000080108643,0.8233199715614319,0.8320900201797485,0
92,2004-04-07,0.8219599723815918,0.829259991645813,0.8198099732398987,0.824400007724762,0
93,2004-04-08,0.8280199766159058,0.8287100195884705,0.8185300230979919,0.8220999836921692,0
94,2004-04-09,0.8274000287055969,0.8287100195884705,0.8255599737167358,0.8278800249099731,0
95,2004-04-12,0.8282899856567383,0.8293200135231018,0.8267199993133545,0.8270599842071533,0
96,2004-04-13,0.837660014629364,0.8396300077438354,0.8276100158691406,0.8282899856567383,0
97,2004-04-14,0.8370299935340881,0.8419600129127502,0.8352100253105164,0.8378700017929077,0
