,Date,close,high,low,open,volume
0,6/1/2001,3.887500048,3.907500029,3.867500067,3.887510061,0
1,6/5/2001,3.874300003,3.904299974,3.849999905,3.869539976,0
2,6/6/2001,3.874300003,3.906800032,3.839999914,3.872080088,0
3,6/7/2001,3.874300003,3.906800032,3.845000029,3.867799997,0
4,6/8/2001,3.874300003,3.894299984,3.849999905,3.869539976,0
5,6/11/2001,3.874300003,3.961100101,3.849999905,3.869539976,0
6,6/12/2001,3.882499933,3.902499914,3.849999905,3.871419907,0
7,6/13/2001,3.879300117,3.908299923,3.845000029,3.877540112,0
8,6/14/2001,3.883500099,3.90350008,3.849999905,3.873539925,0
9,6/15/2001,3.884299994,3.904299974,3.849999905,3.877540112,0
10,6/18/2001,3.882499933,3.902499914,3.845000029,3.870539904,0
11,6/19/2001,3.874300003,3.961199999,3.849999905,3.876100063,0
12,6/20/2001,3.874300003,3.961199999,3.849999905,3.877039909,0
13,6/21/2001,3.884299994,3.963700056,3.849999905,3.8822999,0
14,6/22/2001,3.884299994,3.904299974,3.849999905,3.877540112,0
15,6/25/2001,3.884299994,3.914299965,3.839999914,3.877399921,0
16,6/26/2001,3.879300117,3.914299965,3.849999905,3.875540018,0
17,6/27/2001,3.874300003,3.914299965,3.854300022,3.879309893,0
18,6/28/2001,3.879300117,3.963700056,3.835000038,3.865099907,0
19,6/29/2001,3.898000002,3.917999983,3.878000021,3.894500017,0
20,7/2/2001,3.874300003,3.917999983,3.854300022,3.87974,0
21,7/3/2001,3.967200041,3.987200022,3.854300022,3.923769951,0
22,7/4/2001,3.930000067,3.987200022,3.88499999,3.947619915,0
23,7/5/2001,3.946799994,3.970499992,3.88499999,3.946000099,0
24,7/9/2001,3.946799994,3.973500013,3.880000114,3.900000095,0
25,7/10/2001,3.948499918,3.971800089,3.88499999,3.945679903,0
26,7/13/2001,3.946799994,3.966799974,3.926800013,3.946799994,0
27,7/16/2001,3.948499918,3.97300005,3.892499924,3.948509932,0
28,7/17/2001,3.948499918,4.02850008,3.900000095,3.938899994,0
29,7/19/2001,3.948499918,3.969300032,3.924999952,3.947060108,0
30,7/20/2001,3.948499918,3.968499899,3.928499937,3.948499918,0
31,7/23/2001,3.949300051,3.969300032,3.928499937,3.949300051,0
32,7/27/2001,3.948499918,3.968499899,3.928499937,3.948499918,0
33,7/30/2001,3.948499918,3.968499899,3.928499937,3.948499918,0
34,8/1/2001,3.956799984,4.02850008,3.923799992,3.947520018,0
35,8/2/2001,3.948499918,4.02850008,3.922800064,3.9463799,0
36,8/3/2001,3.948499918,3.968499899,3.928499937,3.948499918,0
37,8/7/2001,4.215000153,4.275000095,4.172500134,4.212500095,0
38,8/8/2001,4.222499847,4.264999866,4.1875,4.222919941,0
39,8/9/2001,4.210000038,4.250100136,4.141900063,4.196889877,0
40,8/13/2001,4.224999905,4.580999851,4.179999828,4.221000195,0
41,8/14/2001,4.224999905,4.580999851,4.179999828,4.226759911,0
42,8/16/2001,4.210000038,4.289800167,4.179999828,4.223999977,0
43,8/20/2001,4.235000134,4.580999851,4.179999828,4.236559868,0
44,8/21/2001,4.25880003,4.580999851,4.179999828,4.243000031,0
45,8/22/2001,4.254799843,4.284800053,4.179999828,4.249479771,0
46,8/23/2001,4.2572999,4.292300224,4.199999809,4.254799843,0
47,8/27/2001,4.259500027,4.600999832,4.199999809,4.262300014,0
48,8/28/2001,4.262300014,4.600999832,4.199999809,4.263840199,0
49,8/29/2001,4.262300014,4.294000149,4.199999809,4.261300087,0
50,8/30/2001,4.262300014,4.292300224,4.237500191,4.26075983,0
51,8/31/2001,4.262300014,4.282299995,4.242300034,4.262310028,0
52,9/3/2001,4.25880003,4.294000149,4.21999979,4.263500214,0
53,9/4/2001,4.262300014,4.293799877,4.21999979,4.262800217,0
54,9/5/2001,4.267300129,4.294300079,4.224999905,4.262310028,0
55,9/6/2001,4.262300014,4.293799877,4.237500191,4.263860226,0
56,9/7/2001,4.262300014,4.282299995,4.242300034,4.262310028,0
57,9/10/2001,4.262300014,4.302299976,4.222300053,4.261179924,0
58,9/11/2001,4.262300014,4.352300167,4.182300091,4.262300014,0
59,9/12/2001,4.262300014,4.347300053,4.182300091,4.266499996,0
60,9/13/2001,4.25,4.294300079,4.230000019,4.258110046,0
61,9/14/2001,4.25,4.269999981,4.230000019,4.25,0
62,9/17/2001,4.256000042,4.335999966,4.16629982,4.259260178,0
63,9/18/2001,4.272299767,4.344500065,4.226299763,4.262390137,0
64,9/19/2001,4.256000042,4.344500065,4.227499962,4.260900021,0
65,9/20/2001,4.256000042,4.294300079,4.226299763,4.257259846,0
