,Date,open,high,low,close,adj close,volume
0,12/12/1980,0.513392866,0.515625,0.513392866,0.513392866,0.406781554,117258400
1,12/15/1980,0.488839298,0.488839298,0.486607134,0.486607134,0.385558158,43971200
2,12/16/1980,0.453125,0.453125,0.450892866,0.450892866,0.357260287,26432000
3,12/17/1980,0.462053567,0.464285702,0.462053567,0.462053567,0.366103351,21610400
4,12/18/1980,0.475446433,0.477678567,0.475446433,0.475446433,0.376715153,18362400
5,12/19/1980,0.504464269,0.506696403,0.504464269,0.504464269,0.399707079,12157600
6,12/22/1980,0.529017866,0.53125,0.529017866,0.529017866,0.419161886,9340800
7,12/23/1980,0.551339269,0.553571403,0.551339269,0.551339269,0.436847955,11737600
8,12/24/1980,0.580357134,0.582589269,0.580357134,0.580357134,0.45983988,12000800
9,12/26/1980,0.633928597,0.636160731,0.633928597,0.633928597,0.502286792,13893600
10,12/29/1980,0.642857134,0.645089269,0.642857134,0.642857134,0.509361207,23290400
11,12/30/1980,0.629464269,0.629464269,0.627232134,0.627232134,0.496980935,17220000
12,12/31/1980,0.611607134,0.611607134,0.609375,0.609375,0.482832015,8937600
13,1/2/1981,0.616071403,0.620535731,0.616071403,0.616071403,0.488137662,5415200
14,1/5/1981,0.604910731,0.604910731,0.602678597,0.602678597,0.477526218,8932000
15,1/6/1981,0.578125,0.578125,0.575892866,0.575892866,0.456302702,11289600
16,1/7/1981,0.553571403,0.553571403,0.551339269,0.551339269,0.436847955,13921600
17,1/8/1981,0.542410731,0.542410731,0.540178597,0.540178597,0.428004831,9956800
18,1/9/1981,0.569196403,0.571428597,0.569196403,0.569196403,0.450996846,5376000
19,1/12/1981,0.569196403,0.569196403,0.564732134,0.564732134,0.447459757,5924800
20,1/13/1981,0.546875,0.546875,0.544642866,0.544642866,0.431542069,5762400
21,1/14/1981,0.546875,0.549107134,0.546875,0.546875,0.433310658,3572800
22,1/15/1981,0.558035731,0.5625,0.558035731,0.558035731,0.442153722,3516800
23,1/16/1981,0.555803597,0.555803597,0.553571403,0.553571403,0.438616574,3348800
